API Key,API-Schlüssel,
About,Über,
Active,Aktiv,
All,Alle,
Apps,Apps,
Cancelled,Storniert,
Configuration,Konfiguration,
Description,Beschreibung,
Expired,Abgelaufen,
Failed,Fehlgeschlagen,
Frappe Support,Frappe Support,
Is Active,Ist aktiv,
Keyboard Shortcuts,Tastaturkürzel,
Log out,Abmelden,
Month,Monat,
Pending,Ausstehend,
Provider,Anbieter,
Reload,Neu laden,
Session Defaults,Sitzungsstandards,
Status,Status,
System Health,Systemgesundheit,
System Manager,System-Manager,
Toggle Full Width,Breite wechseln,
Toggle Theme,Theme wechseln,
User Settings,Benutzereinstellungen,
View Website,Webseite anzeigen,
Webhook URL,Webhook-URL,
Workspace Settings,Arbeitsbereich Einstellungen,
Year,Jahr,
